,id,name,type,rarity,event,group,standard,new
dragons-head,dragons-head,Dragon's Head,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
lucky-pouch,lucky-pouch,Lucky Pouch,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
red-envelope,red-envelope,Red Envelope,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
year-of-the-rooster,year-of-the-rooster,Year of the Rooster,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
b73ns,b73ns,B73-NS,sprays,,UPRISING_2017,,False,False
eradicator,eradicator,Eradicator,sprays,,UPRISING_2017,,False,False
null-sector,null-sector,Null Sector,sprays,common,UPRISING_2017,,False,False
nullmari,nullmari,Nullmari,sprays,,UPRISING_2017,pachi,False,False
nulltrooper,nulltrooper,Nulltrooper,sprays,,UPRISING_2017,,False,False
or14ns,or14ns,OR14-NS,sprays,,UPRISING_2017,,False,False
slicer,slicer,Slicer,sprays,,UPRISING_2017,,False,False
anniversary-2017,anniversary-2017,Anniversary 2017,sprays,common,ANNIVERSARY_2017,,False,False
bicycle-kick,bicycle-kick,Bicycle Kick,sprays,,SUMMER_GAMES,,False,False
goal-blossom,goal-blossom,Goal Blossom,sprays,,SUMMER_GAMES,,False,False
safe-hands,safe-hands,Safe Hands,sprays,,SUMMER_GAMES,,False,False
summer-games,summer-games,Summer Games ,sprays,common,SUMMER_GAMES,,False,False
summer-games-2016,summer-games-2016,Summer Games 2016,sprays,common,SUMMER_GAMES,,False,False
never-die,never-die,...Never Die,sprays,common,HALLOWEEN,,False,False
bats,bats,Bats,sprays,common,HALLOWEEN,,False,False
boo,boo,Boo!,sprays,common,HALLOWEEN,,False,False
boop,boop,Boop!,sprays,common,HALLOWEEN,,False,False
candyball,candyball,Candyball,sprays,common,HALLOWEEN,,False,False
fangs,fangs,Fangs,sprays,common,HALLOWEEN,,False,False
gummy-hog,gummy-hog,Gummy Hog,sprays,common,HALLOWEEN,,False,False
halloween-special,halloween-special,Halloween Special,sprays,,HALLOWEEN,,False,False
halloween-terror,halloween-terror,Halloween Terror,sprays,common,HALLOWEEN,,False,False
junkensteins-revenge,junkensteins-revenge,Junkenstein's Revenge,sprays,,HALLOWEEN,,False,False
my-creations,my-creations,My Creations,sprays,,HALLOWEEN,,False,False
pumpkins,pumpkins,Pumpkins,sprays,common,HALLOWEEN,,False,False
rise-of-the-zomnics,rise-of-the-zomnics,Rise of the Zomnics,sprays,,HALLOWEEN,,False,False
the-monster,the-monster,The Monster,sprays,,HALLOWEEN,,False,False
the-reapening,the-reapening,The Reapening,sprays,,HALLOWEEN,,False,False
the-reaper,the-reaper,The Reaper,sprays,,HALLOWEEN,,False,False
the-witch,the-witch,The Witch,sprays,,HALLOWEEN,,False,False
witchs-brew,witchs-brew,Witch's Brew,sprays,common,HALLOWEEN,,False,False
never-die,never-die,...Never Die,icons,,HALLOWEEN,,False,False
16bit-hero,16bit-hero,16-Bit Hero,icons,,,,False,False
2017,2017,2017,icons,,WINTER_WONDERLAND_2016,,False,False
zarya-512,zarya-512,512,icons,,,,False,False
soldier-76-76,soldier-76-76,76,icons,,,,False,False
junkrat-ahhhh,junkrat-ahhhh,AHHHH!,icons,,,,False,False
ana-ana,ana-ana,Ana,icons,,,,False,False
ana-anaversary,ana-anaversary,Anaversary,icons,,ANNIVERSARY_2017,,False,False
sombra-aniversario,sombra-aniversario,Aniversario,icons,,ANNIVERSARY_2017,,False,False
pharah-anniversareeha,pharah-anniversareeha,Anniversareeha,icons,,ANNIVERSARY_2017,,False,False
anniversary-2017,anniversary-2017,Anniversary 2017,icons,,ANNIVERSARY_2017,,False,False
anubis,anubis,Anubis,icons,,,,False,False
hanzo-archery,hanzo-archery,Archery,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
orisa-aurisa,orisa-aurisa,Aurisa,icons,,ANNIVERSARY_2017,,False,False
australia,australia,Australia,icons,,SUMMER_GAMES,,False,False
tracer-auxton,tracer-auxton,Auxton,icons,,ANNIVERSARY_2017,,False,False
b73ns,b73ns,B73-NS,icons,,UPRISING_2017,,False,False
mccree-badge,mccree-badge,Badge,icons,,,,False,False
mercy-badminton,mercy-badminton,Badminton,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
widowmaker-baiser,widowmaker-baiser,Baiser,icons,,,,False,False
bao,bao,Bao,icons,,,,False,False
barbarian,barbarian,Barbarian,icons,,,,False,False
pharah-basketball,pharah-basketball,Basketball,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
bastion-bastion,bastion-bastion,Bastion,icons,,,,False,False
bells,bells,Bells,icons,,WINTER_WONDERLAND_2016,,False,False
bewitching,bewitching,Bewitching,icons,,HALLOWEEN,,False,False
mccree-blackwatch,mccree-blackwatch,Blackwatch,icons,,UPRISING_2017,,False,False
reaper-bmx,reaper-bmx,BMX,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
bokimari,bokimari,Bokimari,icons,,YEAR_OF_THE_ROOSTER_2017,pachi,False,False
bastion-boxing,bastion-boxing,Boxing,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
brazil,brazil,Brazil,icons,,SUMMER_GAMES,,False,False
bubbly,bubbly,Bubbly,icons,,WINTER_WONDERLAND_2016,,False,False
dva-bunny,dva-bunny,Bunny,icons,,,,False,False
tracer-cadet,tracer-cadet,Cadet,icons,,UPRISING_2017,,False,False
calavera,calavera,Calavera,icons,,HALLOWEEN,,False,False
candle,candle,Candle,icons,,HALLOWEEN,,False,False
candy-cane,candy-cane,Candy Cane,icons,,WINTER_WONDERLAND_2016,,False,False
capsule,capsule,Capsule,icons,,,,False,False
mei-change,mei-change,Chang'e,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
dva-charm,dva-charm,Charm,icons,,,,False,False
cheers,cheers,Cheers!,icons,,WINTER_WONDERLAND_2016,,False,False
torbjorn-chief-engineer,torbjorn-chief-engineer,Chief Engineer,icons,,UPRISING_2017,,False,False
china,china,China,icons,,SUMMER_GAMES,,False,False
coin,coin,Coin,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
colossus,colossus,Colossus,icons,,,,False,False
mercy-combat-medic,mercy-combat-medic,Combat Medic,icons,,UPRISING_2017,,False,False
copa-lucioball-competitor,copa-lucioball-competitor,Copa Lúcioball Competitor,icons,,,competitive,False,False
copa-lucioball-hero,copa-lucioball-hero,Copa Lúcioball Hero,icons,,,competitive,False,False
ana-corsair,ana-corsair,Corsair,icons,,HALLOWEEN,,False,True
credit,credit,Credit,icons,,,,False,False
crusader,crusader,Crusader,icons,,,,False,False
zenyatta-cultist,zenyatta-cultist,Cultist,icons,,HALLOWEEN,,False,True
genji-cyborg,genji-cyborg,Cyborg,icons,,UPRISING_2017,,False,False
dva-cycling,dva-cycling,Cycling,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
widowmaker-dor,widowmaker-dor,D'or,icons,,ANNIVERSARY_2017,,False,False
dva-dva,dva-dva,D.Va,icons,,,,False,False
dark-lady,dark-lady,Dark Lady,icons,,,,False,False
dark-wanderer,dark-wanderer,Dark Wanderer,icons,,,,False,False
mccree-deadeye,mccree-deadeye,Deadeye,icons,,,,False,False
demolition,demolition,Demolition,icons,,,,False,False
demon-hunter,demon-hunter,Demon Hunter,icons,,,,False,False
roadhog-diving,roadhog-diving,Diving,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
dominion,dominion,Dominion,icons,,,,False,False
doomfist-doomfist,doomfist-doomfist,Doomfist,icons,,,,False,False
reaper-dracula,reaper-dracula,Dracula,icons,,HALLOWEEN,,False,True
dragon-dance,dragon-dance,Dragon Dance,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
dreidel,dreidel,Dreidel,icons,,WINTER_WONDERLAND_2016,,False,False
drop-pod,drop-pod,Drop Pod,icons,,UPRISING_2017,,False,False
orisa-efi,orisa-efi,Efi,icons,,,,False,False
egypt,egypt,Egypt,icons,,SUMMER_GAMES,,False,False
elephant,elephant,Elephant,icons,,,,False,False
reaper-emblem,reaper-emblem,Emblem,icons,,,,False,False
mccree-equestrian,mccree-equestrian,Equestrian,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
eyeball,eyeball,Eyeball,icons,,HALLOWEEN,,False,False
genji-fencing,genji-fencing,Fencing,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
doomfist-fist,doomfist-fist,Fist,icons,,,,False,False
lucio-football,lucio-football,Football,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
for-the-alliance,for-the-alliance,For the Alliance,icons,,,,False,False
for-the-horde,for-the-horde,For the Horde,icons,,,,False,False
torbjorn-forge,torbjorn-forge,Forge,icons,,,,False,False
fortune,fortune,Fortune,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
france,france,France,icons,,SUMMER_GAMES,,False,False
lucio-frog,lucio-frog,Frog,icons,,,,False,False
from-beyond-the-moon,from-beyond-the-moon,From Beyond the Moon,icons,,,,False,False
fuchimari,fuchimari,Fuchimari,icons,,YEAR_OF_THE_ROOSTER_2017,pachi,False,False
mccree-gamf,mccree-gamf,GAMF,icons,,ANNIVERSARY_2017,,False,False
bastion-ganymede,bastion-ganymede,Ganymede,icons,,,,False,False
garrosh,garrosh,Garrosh,icons,,,,False,False
torbjorn-gears,torbjorn-gears,Gears,icons,,,,False,False
genji-genji,genji-genji,Genji,icons,,,,False,False
germany,germany,Germany,icons,,SUMMER_GAMES,,False,False
ghostymari,ghostymari,Ghostymari,icons,,HALLOWEEN,pachi,False,False
gingerbread,gingerbread,Gingerbread,icons,,WINTER_WONDERLAND_2016,,False,False
gingermari,gingermari,Gingermari,icons,,WINTER_WONDERLAND_2016,pachi,False,False
genji-god-of-war,genji-god-of-war,God of War,icons,,,,False,False
gold,gold,Gold,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
soldier-76-gold-soldier,soldier-76-gold-soldier,Gold Soldier,icons,,ANNIVERSARY_2017,,False,False
genji-goldborg,genji-goldborg,Goldborg,icons,,ANNIVERSARY_2017,,False,False
bastion-goldbot,bastion-goldbot,Goldbot,icons,,ANNIVERSARY_2017,,False,False
torbjorn-goldclad,torbjorn-goldclad,Goldclad,icons,,ANNIVERSARY_2017,,False,False
reinhardt-goldhardt,reinhardt-goldhardt,Goldhardt,icons,,ANNIVERSARY_2017,,False,False
roadhog-goldhog,roadhog-goldhog,Goldhog,icons,,ANNIVERSARY_2017,,False,False
junkrat-goldrat,junkrat-goldrat,Goldrat,icons,,ANNIVERSARY_2017,,False,False
winston-goldrilla,winston-goldrilla,Goldrilla,icons,,ANNIVERSARY_2017,,False,False
soldier-76-golf,soldier-76-golf,Golf,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
widowmaker-grappling-hook,widowmaker-grappling-hook,Grappling Hook,icons,,,,False,False
greece,greece,Greece,icons,,SUMMER_GAMES,,False,False
mercy-guardian-angel,mercy-guardian-angel,Guardian Angel,icons,,,,False,False
widowmaker-gymnastics,widowmaker-gymnastics,Gymnastics,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
sombra-hacker,sombra-hacker,Hacker,icons,,,,False,False
mei-hairpin,mei-hairpin,Hairpin,icons,,,,False,False
halloween-terror-2016,halloween-terror-2016,Halloween Terror 2016,icons,,HALLOWEEN,,False,False
halloween-terror-2017,halloween-terror-2017,Halloween Terror 2017,icons,,HALLOWEEN,,False,False
dva-hanaversary,dva-hanaversary,Hanaversary,icons,,ANNIVERSARY_2017,,False,False
dva-hanbok,dva-hanbok,Hanbok,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
hanzo-hanzo,hanzo-hanzo,Hanzo,icons,,,,False,False
happy-squid,happy-squid,Happy Squid,icons,,,,False,False
zenyatta-harmony,zenyatta-harmony,Harmony,icons,,,,False,False
junkrat-have-a-nice-day,junkrat-have-a-nice-day,Have a Nice Day!,icons,,,,False,False
have-fish,have-fish,Have Fish,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
hearthstone,hearthstone,Hearthstone,icons,,,,False,False
hierarch,hierarch,Hierarch,icons,,,,False,False
sombra-high-jump,sombra-high-jump,High Jump,icons,,SUMMER_GAMES,,False,True
holly,holly,Holly,icons,,WINTER_WONDERLAND_2016,,False,False
roadhog-hook,roadhog-hook,Hook,icons,,,,False,False
hot-cocoa,hot-cocoa,Hot Cocoa,icons,,WINTER_WONDERLAND_2016,,False,False
doomfist-initials,doomfist-initials,Initials,icons,,,,False,False
mercy-jahrestag,mercy-jahrestag,Jahrestag,icons,,ANNIVERSARY_2017,,False,False
jaina,jaina,Jaina,icons,,,,False,False
japan,japan,Japan,icons,,SUMMER_GAMES,,False,False
orisa-javelin,orisa-javelin,Javelin,icons,,SUMMER_GAMES,,False,True
mei-jiangshi,mei-jiangshi,Jiangshi,icons,,HALLOWEEN,,False,True
jim,jim,Jim,icons,,,,False,False
tracer-jingle,tracer-jingle,Jingle,icons,,WINTER_WONDERLAND_2016,,False,False
junkensteins-pachimonster,junkensteins-pachimonster,Junkenstein's Pachimonster,icons,,HALLOWEEN,,False,False
junkrat-junkrat,junkrat-junkrat,Junkrat,icons,,,,False,False
lucio-kambo,lucio-kambo,Kambô,icons,,,,False,False
hanzo-kinenbi,hanzo-kinenbi,Kinenbi,icons,,ANNIVERSARY_2017,,False,False
kofi-aromo,kofi-aromo,Kọfị Aromo,icons,,,,False,False
widowmaker-lacroix,widowmaker-lacroix,Lacroix,icons,,UPRISING_2017,,False,False
lantern,lantern,Lantern,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
dva-law,dva-law,Law,icons,,,,False,False
lich-king,lich-king,Lich King,icons,,,,False,False
reinhardt-lieutenant,reinhardt-lieutenant,Lieutenant,icons,,UPRISING_2017,,False,False
lion-dance,lion-dance,Lion Dance,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
reinhardt-lionhardt,reinhardt-lionhardt,Lionhardt,icons,,,,False,False
loot-box,loot-box,Loot Box,icons,,,,False,False
lord-of-candy,lord-of-candy,Lord of Candy,icons,,,,False,False
lord-of-terror,lord-of-terror,Lord of Terror,icons,,,,False,False
los-muertos,los-muertos,Los Muertos,icons,,,,False,False
lucky-pouch,lucky-pouch,Lucky Pouch,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
winston-lunar-ops,winston-lunar-ops,Lunar Ops,icons,,,,False,False
lucio-lucio,lucio-lucio,Lúcio,icons,,,,False,False
lucio-luciouro,lucio-luciouro,Lúciouro,icons,,ANNIVERSARY_2017,,False,False
mama-pigs,mama-pigs,Mama Pig's,icons,,,,False,False
mariachi,mariachi,Mariachi,icons,,,,False,False
mei-may,mei-may,May,icons,,ANNIVERSARY_2017,,False,False
mccree-mccree,mccree-mccree,McCree,icons,,,,False,False
mech,mech,Mech,icons,,,,False,False
zenyatta-meditation,zenyatta-meditation,Meditation,icons,,,,False,False
mei-mei,mei-mei,Mei,icons,,,,False,False
mercy-mercy,mercy-mercy,Mercy,icons,,,,False,False
mexico,mexico,Mexico,icons,,SUMMER_GAMES,,False,False
mochi,mochi,Mochi,icons,,WINTER_WONDERLAND_2016,,False,False
monk,monk,Monk,icons,,,,False,False
winston-monkey,winston-monkey,Monkey,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
cheers1,cheers1,Na Zdorovie,icons,,,,False,False
nepal,nepal,Nepal,icons,,SUMMER_GAMES,,False,False
new-year-cake,new-year-cake,New Year Cake,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
nexus,nexus,Nexus,icons,,,,False,False
genji-nin,genji-nin,Nin,icons,,,,False,False
null-sector,null-sector,Null Sector,icons,,UPRISING_2017,,False,False
nullmari,nullmari,Nullmari,icons,,UPRISING_2017,pachi,False,False
numbani,numbani,Numbani,icons,,SUMMER_GAMES,,False,False
zenyatta-nutcracker,zenyatta-nutcracker,Nutcracker,icons,,WINTER_WONDERLAND_2016,,False,False
genji-oni,genji-oni,Oni,icons,,,,False,False
orisa-or14ns,orisa-or14ns,OR14-NS,icons,,UPRISING_2017,,False,False
orisa-orisa,orisa-orisa,Orisa,icons,,,,False,False
ornament,ornament,Ornament,icons,,WINTER_WONDERLAND_2016,,False,False
overwatch-dark,overwatch-dark,Overwatch Dark,icons,,,,True,False
overwatch-light,overwatch-light,Overwatch Light,icons,,,,True,False
pachilantern,pachilantern,Pachilantern,icons,,YEAR_OF_THE_ROOSTER_2017,pachi,False,False
pachimari,pachimari,Pachimari,icons,,,pachi,False,False
pachimerry,pachimerry,Pachimerry,icons,,WINTER_WONDERLAND_2016,pachi,False,False
pachimummy,pachimummy,Pachimummy,icons,,HALLOWEEN,pachi,False,False
pachireindeer,pachireindeer,Pachireindeer,icons,,WINTER_WONDERLAND_2016,pachi,False,False
pachiversary,pachiversary,Pachiversary,icons,,ANNIVERSARY_2017,pachi,False,False
zarya-particle-barrier,zarya-particle-barrier,Particle Barrier,icons,,,,False,False
tracer-patch,tracer-patch,Patch,icons,,,,False,False
peachimari,peachimari,Peachimari,icons,,YEAR_OF_THE_ROOSTER_2017,pachi,False,False
winston-peanut-butter,winston-peanut-butter,Peanut Butter,icons,,,,False,False
peppermint,peppermint,Peppermint,icons,,WINTER_WONDERLAND_2016,,False,False
pharah-pharah,pharah-pharah,Pharah,icons,,,,False,False
pharaoh,pharaoh,Pharaoh,icons,,,,False,False
roadhog-piggy,roadhog-piggy,Piggy,icons,,,,False,False
roadhog-pigsy,roadhog-pigsy,Pigsy,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
present,present,Present,icons,,WINTER_WONDERLAND_2016,,False,False
orisa-protector,orisa-protector,Protector,icons,,,,False,False
protoss,protoss,Protoss,icons,,,,False,False
tracer-pulse-bomb,tracer-pulse-bomb,Pulse Bomb,icons,,,,False,False
queen-of-blades,queen-of-blades,Queen of Blades,icons,,,,False,False
ramen,ramen,Ramen,icons,,,,False,False
pharah-raptora,pharah-raptora,Raptora,icons,,,,False,False
reaper-reaper,reaper-reaper,Reaper,icons,,,,False,False
reaper-reapiversary,reaper-reapiversary,Reapiversary,icons,,ANNIVERSARY_2017,,False,False
red-envelope,red-envelope,Red Envelope,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
reinhardt-reinhardt,reinhardt-reinhardt,Reinhardt,icons,,,,False,False
rhino,rhino,Rhino,icons,,,,False,False
symmetra-rhythmic-gymnastics,symmetra-rhythmic-gymnastics,Rhythmic Gymnastics,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
rikimaru,rikimaru,Rikimaru,icons,,,,False,False
roadhog-roadhog,roadhog-roadhog,Roadhog,icons,,,,False,False
route-66,route-66,Route 66,icons,,,,False,False
russia,russia,Russia,icons,,SUMMER_GAMES,,False,False
sakura,sakura,Sakura,icons,,,,False,False
reinhardt-sandy,reinhardt-sandy,Sandy,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
torbjorn-santaclad,torbjorn-santaclad,Santaclad,icons,,WINTER_WONDERLAND_2016,,False,False
zenyatta-sanzang,zenyatta-sanzang,Sanzang,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
reinhardt-scar,reinhardt-scar,Scar,icons,,,,False,False
scooter,scooter,Scooter,icons,,,,False,False
season-1-competitor,season-1-competitor,Season 1 Competitor,icons,,,competitive,False,False
season-1-hero,season-1-hero,Season 1 Hero,icons,,,competitive,False,False
season-2-competitor,season-2-competitor,Season 2 Competitor,icons,,,competitive,False,False
season-2-hero,season-2-hero,Season 2 Hero,icons,,,competitive,False,False
season-3-competitor,season-3-competitor,Season 3 Competitor,icons,,,competitive,False,False
season-3-hero,season-3-hero,Season 3 Hero,icons,,,competitive,False,False
season-4-competitor,season-4-competitor,Season 4 Competitor,icons,,,competitive,False,False
season-4-hero,season-4-hero,Season 4 Hero,icons,,,competitive,False,False
season-5-competitor,season-5-competitor,Season 5 Competitor,icons,,,competitive,False,False
season-5-hero,season-5-hero,Season 5 Hero,icons,,,competitive,False,False
season-6-competitor,season-6-competitor,Season 6 Competitor,icons,,,competitive,False,False
season-6-hero,season-6-hero,Season 6 Hero,icons,,,competitive,False,False
symmetra-sentry,symmetra-sentry,Sentry,icons,,,,False,False
seollal,seollal,Seollal,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
hanzo-shimada,hanzo-shimada,Shimada,icons,,,,False,False
ana-shooting,ana-shooting,Shooting,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
doomfist-shotput,doomfist-shotput,Shotput,icons,,SUMMER_GAMES,,False,True
siege-mode,siege-mode,Siege Mode,icons,,,,False,False
sixgun-killer,sixgun-killer,Six-Gun Killer,icons,,,,False,False
sombra-skull,sombra-skull,Skull,icons,,,,False,False
snow-globe,snow-globe,Snow Globe,icons,,WINTER_WONDERLAND_2016,,False,False
mei-snowball,mei-snowball,Snowball,icons,,,,False,False
snowman,snowman,Snowman,icons,,WINTER_WONDERLAND_2016,,False,False
soldier-76-soldier-76,soldier-76-soldier-76,Soldier: 76,icons,,,,False,False
sombra-sombra,sombra-sombra,Sombra,icons,,,,False,False
reaper-soul,reaper-soul,Soul,icons,,,,False,False
south-korea,south-korea,South Korea,icons,,SUMMER_GAMES,,False,False
spider,spider,Spider,icons,,HALLOWEEN,,False,False
stocking,stocking,Stocking,icons,,WINTER_WONDERLAND_2016,,False,False
hanzo-storm,hanzo-storm,Storm,icons,,,,False,False
soldier-76-strike-commander,soldier-76-strike-commander,Strike Commander,icons,,,,False,False
summer-games-2016,summer-games-2016,Summer Games 2016,icons,,SUMMER_GAMES,,False,False
summer-games-2017,summer-games-2017,Summer Games 2017,icons,,SUMMER_GAMES,,False,False
superstition,superstition,Superstition,icons,,HALLOWEEN,,False,False
svyatogor,svyatogor,Svyatogor,icons,,,,False,False
sweden,sweden,Sweden,icons,,SUMMER_GAMES,,False,False
switzerland,switzerland,Switzerland,icons,,SUMMER_GAMES,,False,False
symmetra-symmetra,symmetra-symmetra,Symmetra,icons,,,,False,False
mei-table-tennis,mei-table-tennis,Table Tennis,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
zenyatta-taekwondo,zenyatta-taekwondo,Taekwondo,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
tangerines,tangerines,Tangerines,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
bastion-tank-crossing,bastion-tank-crossing,Tank Crossing,icons,,,,False,False
tannenbaum,tannenbaum,Tannenbaum,icons,,WINTER_WONDERLAND_2016,,False,False
junkrat-tennis,junkrat-tennis,Tennis,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
terran,terran,Terran,icons,,,,False,False
junkrat-the-doctor,junkrat-the-doctor,The Doctor,icons,,HALLOWEEN,HALLOWEEN_2016,False,False
roadhog-the-monster,roadhog-the-monster,The Monster,icons,,HALLOWEEN,HALLOWEEN_2016,False,False
reaper-the-reaper,reaper-the-reaper,The Reaper,icons,,HALLOWEEN,HALLOWEEN_2016,False,False
